animal_id,animal_subid,animal_area_pkid,animal_shelter_pkid,animal_place,animal_kind,animal_sex,animal_bodytype,animal_colour,animal_age,animal_sterilization,animal_bacterin,animal_foundplace,animal_title,animal_status,animal_remark,animal_caption,animal_opendate,animal_closeddate,animal_update,animal_createtime,shelter_name,album_file,album_update,cDate,shelter_address,shelter_tel,
30705,LAABG1060717002,17,76,高雄市燕巢動物保護關愛園區,狗,F,BIG,黑色,ADULT,T,F,茄萣區公所後方公園,,OPEN,,,2018-01-11,2999-12-31,2018/02/27,2017/07/17,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/ed18c98e-524d-4403-bbc9-12d42ecfb8b2_org.JPG,,2018/02/27,高雄市燕巢區師大路100號,07-6051002,
30755,LAABG1070112001,17,76,高雄市燕巢動物保護關愛園區,狗,M,BIG,虎斑色,ADULT,F,F,文明路,,OPEN,,,2018-01-12,2999-12-31,2018/01/12,2018/01/12,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/4e1b7416-1492-4b99-8d0f-622dbf0ef1eb_org.JPG,,2018/01/12,高雄市燕巢區師大路100號,07-6051002,
31961,LAABG107011604,17,76,高雄市燕巢動物保護關愛園區,狗,F,MEDIUM,黃色,CHILD,F,F,為隨里新樂街,,OPEN,,,2018-01-16,2999-12-31,2018/04/02,2018/01/16,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/LAABG1070116003_0_org.JPG,,2018/04/02,高雄市燕巢區師大路100號,07-6051002,
32455,LAABG107011803,17,76,高雄市燕巢動物保護關愛園區,狗,F,SMALL,黃色,CHILD,F,F,親水公園,,OPEN,,,2018-01-18,2999-12-31,2018/01/18,2018/01/18,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/46961424-3f33-40f0-9ddd-1bc053d7b6aa_org.JPG,,2018/01/18,高雄市燕巢區師大路100號,07-6051002,
32458,LAABG107011806,17,76,高雄市燕巢動物保護關愛園區,狗,F,SMALL,花色,CHILD,F,F,親水公園※暫不開放,,OPEN,,,2018-01-18,2999-12-31,2018/03/20,2018/01/18,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/7068e5a6-247b-4cac-a6be-75c79c591ea4_org.JPG,,2018/03/20,高雄市燕巢區師大路100號,07-6051002,
32464,LAABG107011812,17,76,高雄市燕巢動物保護關愛園區,狗,F,SMALL,黑色,CHILD,F,F,新興里,,OPEN,,,2018-01-18,2999-12-31,2018/04/03,2018/01/18,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/8a7325d9-246d-4ee3-b2a7-896b6f2ea353_org.JPG,,2018/04/03,高雄市燕巢區師大路100號,07-6051002,
32469,LAABG107011820,17,76,高雄市燕巢動物保護關愛園區,狗,M,BIG,黃色,CHILD,F,F,七星路,,OPEN,,,2018-01-18,2999-12-31,2018/01/18,2018/01/18,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/fe0488e6-88ba-4314-9c2e-d0e5a171806f_org.JPG,,2018/01/18,高雄市燕巢區師大路100號,07-6051002,
32749,LAABG1070122006,17,76,高雄市燕巢動物保護關愛園區,狗,F,SMALL,黑色,CHILD,F,F,赤崁南路※0205送動物櫥窗魚中魚,,OPEN,※0205送動物櫥窗魚中魚,,2018-02-05,2999-12-31,2018/02/05,2018/01/22,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/cf7bffaa-1e3a-4cb5-8378-6f51ee008070_org.JPG,,2018/02/05,高雄市燕巢區師大路100號,07-6051002,
32750,LAABG1070122007,17,76,高雄市燕巢動物保護關愛園區,狗,F,SMALL,黑色,CHILD,F,F,赤崁南路,,OPEN,,,,2999-12-31,2018/01/23,2018/01/22,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/feca6fd9-b5a4-4555-ab0e-9f02946f23aa_org.JPG,,2018/01/23,高雄市燕巢區師大路100號,07-6051002,
32753,LAABG1070122010,17,76,高雄市燕巢動物保護關愛園區,狗,M,BIG,花色,ADULT,F,F,崎漏一街,,OPEN,,,,2999-12-31,2018/01/23,2018/01/22,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/b3eee34b-7cbb-4b21-9dc1-2b9bb2fe4089_org.JPG,,2018/01/23,高雄市燕巢區師大路100號,07-6051002,
32755,LAABG1070122012,17,76,高雄市燕巢動物保護關愛園區,狗,F,SMALL,黑色,CHILD,F,F,果菜市場,,OPEN,,,2018-03-01,2999-12-31,2018/04/03,2018/01/22,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/1b84cb60-6309-49ac-bf4e-da7aa0f978b1_org.JPG,,2018/04/03,高雄市燕巢區師大路100號,07-6051002,
32757,LAABG1070122013,17,76,高雄市燕巢動物保護關愛園區,狗,F,SMALL,黑色,CHILD,F,F,果菜市場,,OPEN,,,2018-03-01,2999-12-31,2018/04/03,2018/01/22,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/ffc85ced-3d63-45ff-b16a-72d35bfc64d1_org.JPG,,2018/04/03,高雄市燕巢區師大路100號,07-6051002,
32789,LAABG1070123003,17,76,高雄市燕巢動物保護關愛園區,狗,M,BIG,白色,ADULT,F,F,抽水站,,OPEN,,,,2999-12-31,2018/01/23,2018/01/23,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/cbf645cf-94ba-4d5a-8602-f3901caeedce_org.JPG,,2018/01/23,高雄市燕巢區師大路100號,07-6051002,
32899,LAABG107012415,17,76,高雄市燕巢動物保護關愛園區,狗,F,BIG,黑色,ADULT,F,F,鳳山厝市場,,OPEN,,,2018-01-25,2999-12-31,2018/04/14,2018/01/24,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/ae2db8ae-3919-42c9-a224-aa2ec10877b9_org.JPG,,2018/04/14,高雄市燕巢區師大路100號,07-6051002,
33000,LAABG107012501,17,76,高雄市燕巢動物保護關愛園區,狗,M,BIG,黑色,ADULT,F,F,大崗山生態園區,,OPEN,,,2018-01-25,2999-12-31,2018/01/25,2018/01/25,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/837696b7-1b99-4c54-8183-a983de8b875c_org.JPG,,2018/01/25,高雄市燕巢區師大路100號,07-6051002,
33313,LAABG107013003,17,76,高雄市燕巢動物保護關愛園區,狗,F,SMALL,黃色,CHILD,F,F,永豐路,,OPEN,,,2018-01-30,2999-12-31,2018/01/30,2018/01/30,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/1246e9bc-e302-42eb-8434-c8b3e90a7be9_org.JPG,,2018/01/30,高雄市燕巢區師大路100號,07-6051002,
33391,LAABG107013103,17,76,高雄市燕巢動物保護關愛園區,狗,F,BIG,黃色,ADULT,F,F,茄萣路,,OPEN,,,2018-01-31,2999-12-31,2018/06/13,2018/01/31,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/acc37255-95be-419c-b718-b1ce3784e20e_org.JPG,,2018/06/13,高雄市燕巢區師大路100號,07-6051002,
33392,LAABG107013105,17,76,高雄市燕巢動物保護關愛園區,狗,M,SMALL,黑色,CHILD,F,F,下甲路與平海路,,OPEN,,,2018-01-31,2999-12-31,2018/06/14,2018/01/31,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/2d9d8199-015b-4a09-98ac-3755178ceaec_org.JPG,,2018/06/14,高雄市燕巢區師大路100號,07-6051002,
33393,LAABG107013106,17,76,高雄市燕巢動物保護關愛園區,狗,M,SMALL,黑色,CHILD,F,F,下甲路與平海路,,OPEN,,,2018-01-31,2999-12-31,2018/06/14,2018/01/31,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/0a12e1db-91db-4294-b430-ddc315cf1d5f_org.JPG,,2018/06/14,高雄市燕巢區師大路100號,07-6051002,
33397,LAABG107013109,17,76,高雄市燕巢動物保護關愛園區,狗,M,SMALL,黑色,CHILD,F,F,下甲路與平海路,,OPEN,,,2018-01-31,2999-12-31,2018/06/14,2018/01/31,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/893d0ec1-8bbd-49bc-af7e-16b5b2197fb9_org.JPG,,2018/06/14,高雄市燕巢區師大路100號,07-6051002,
33399,LAABG107013111,17,76,高雄市燕巢動物保護關愛園區,狗,M,SMALL,黑色,CHILD,F,F,下甲路與平海路,,OPEN,,,2018-01-31,2999-12-31,2018/06/14,2018/01/31,高雄市燕巢動物保護關愛園區,http://asms.coa.gov.tw/amlapp/upload/pic/8703b49e-792a-4f6f-9335-a7003d3d6a40_org.JPG,,2018/06/14,高雄市燕巢區師大路100號,07-6051002,
